Geneid	EDLARFE1	EDLARFE2	EDLARFE3	EDLARME1	EDLARME2	EDLARME3	EDLCIBFE1	EDLCIBFE2	EDLCIBFE3	EDLCIBME1	EDLCIBME2	EDLCIBME3	EDLCR6H1	EDLCR6H2	EDLCR6H3	EDLM9FE1	EDLM9FE2	EDLM9FE3	EDLM9ME1	EDLM9ME2	EDLM9ME3	MC2ARFE1	MC2ARFE2	MC2ARFE3
EDL933_RS03585	72	85	247	298	207	219	580	233	1019	756	468	518	757	882	372	309	276	2017	354	514	253	486	428	413
EDL933_RS03590	13	26	50	77	49	48	186	22	155	128	23	75	95	154	121	56	44	328	221	213	69	70	40	59
EDL933_RS03595	21	40	143	173	114	142	486	63	310	313	44	204	199	349	284	109	87	689	696	582	219	131	80	115
EDL933_RS03600	42	94	281	338	205	267	879	125	575	528	63	402	382	589	465	206	170	1289	1484	1170	462	201	120	171
EDL933_RS03605	65	148	348	451	315	395	1435	176	888	787	95	628	519	893	711	412	293	2091	2362	1911	785	263	157	205
EDL933_RS03610	68	169	376	492	355	407	1679	205	1014	851	101	685	604	1059	843	521	389	2580	2767	2219	974	277	177	218
EDL933_RS03615	64	152	320	389	312	369	1571	176	994	780	81	614	542	1001	757	522	397	2554	2746	2131	958	230	172	198
EDL933_RS03620	45	88	204	208	195	229	1169	82	743	491	37	366	351	731	464	408	313	2090	2249	1683	705	169	114	135
EDL933_RS03625	368	1508	2703	4984	3528	4216	2812	232	559	667	490	365	260	546	1538	706	695	4950	676	1534	566	3820	1970	3245
EDL933_RS03630	80	175	302	387	325	367	449	145	450	991	394	502	544	456	238	348	250	1850	396	541	277	436	344	351
EDL933_RS03635	146	411	640	1346	917	1364	1046	317	1398	3259	1036	1213	1466	1281	635	606	646	4407	844	1056	501	1053	768	659
EDL933_RS03640	106	818	429	3474	2068	3554	912	260	1385	8075	1631	1413	1174	1103	514	425	446	3223	752	916	423	1046	866	681
EDL933_RS03645	69	1166	339	6077	3416	5834	936	250	891	9892	1842	1541	562	693	478	231	239	1467	443	420	185	1218	938	830
EDL933_RS03650	128	1131	526	5736	3042	4105	921	202	573	8607	2100	1960	377	458	449	165	214	1103	430	458	268	1293	960	986
EDL933_RS03655	918	1307	2869	2507	2588	2437	3510	772	2894	5865	2126	4162	2562	2242	1898	1375	1195	8824	2706	3720	1855	3824	2707	2876
EDL933_RS03660	5	12	8	30	13	41	10	2	59	123	25	62	45	68	9	9	4	14	14	7	1	9	14	12
EDL933_RS03665	4	26	37	31	32	53	49	8	109	141	21	56	104	157	30	22	18	110	60	32	17	27	39	51
EDL933_RS03670	10	42	105	68	60	74	112	19	133	115	17	53	77	130	74	44	20	164	91	65	35	136	128	85
EDL933_RS03675	2319	3309	12301	8802	5950	7544	11140	1816	5563	10677	3377	11718	4448	5294	6026	2822	2136	15209	4719	5146	2514	14661	14122	12245
EDL933_RS03680	1428	2060	7715	5192	3526	4552	7160	1171	3321	6897	2051	7283	2839	3355	3539	1637	1250	9147	2990	3306	1426	9214	9363	7772
EDL933_RS03685	1207	1909	6569	4281	3061	3883	6314	1145	2828	6500	1902	6403	2530	3118	3156	1514	1182	8517	2814	3165	1389	8234	8338	6989
EDL933_RS03690	227	584	1391	791	859	914	1545	670	1271	2857	942	1836	1167	1568	996	627	524	3324	1265	1741	819	1935	1652	1531
EDL933_RS03695	16	25	93	44	54	90	109	20	163	296	44	135	209	235	74	62	55	282	190	165	115	140	118	116
EDL933_RS03700	28	65	172	186	122	104	210	73	357	359	149	241	303	317	109	141	118	740	235	238	155	307	181	207
EDL933_RS03705	323	750	1385	1104	1180	976	1731	452	2057	3874	1786	2213	1797	1966	1003	898	846	4911	1289	1549	826	2116	1345	1517
